Título,Nota,Total de Votos,Ano de Lançamento
Wicked,8.1,(43K),2024
Gladiador II,6.9,(88K),2024
Moana 2,7.1,(20K),2024
Gladiador,8.5,(1.7M),2000
A Substância,7.4,(153K),2024
Querido Papai Noel,5.4,(4.3K),2024
Operação Natal,6.9,(37K),2024
Deadpool & Wolverine,7.7,(405K),2024
Como Treinar o Seu Dragão,Sem nota,Sem votos,2025
Conclave,7.5,(22K),2024
No Ritmo Do Natal,4.9,(5.5K),2024
Alien: Romulus,7.2,(178K),2024
Sonic 3: O Filme,Sem nota,Sem votos,2024
Eden,6.2,(408),2024
Nosso Segredinho,5.9,(7.6K),2024
Um Amor Feito de Neve,5.4,(8.2K),2024
Twisters,6.5,(131K),2024
Herege,7.2,(21K),2024
Sorria 2,6.9,(55K),2024
Lilo & Stitch,Sem nota,Sem votos,2025
Blitz,6.3,(7.8K),2024
Enfeitiçados,5.7,(3.4K),2024
O Mágico de Oz,8.1,(439K),1939
Nosferatu,Sem nota,Sem votos,2024
Todo Tempo que Temos,7.1,(16K),2024
